title_theme,abstract_theme,similarity_score
crisis | pandemic | covid,crisis | pandemic | covid,1.0
government | citizen | public,government | citizen | public,1.0
learning | student | learner,market | rumor | stock,0.0
financial | financial distress | distress,financial | financial distress | distress,1.0
decision | decision making | making,decision | decision making | making,1.0
energy | user | ubiquitous,decision | decision making | making,0.0
network | peer | social network,domain | text | method,0.0
ethical | human | generative,customer | chatbot | loyalty,0.0
smart | home | smart home,smart | home | smart home,1.0
news | fake news | fake,news | fake news | fake,1.0
ict | diffusion | country,news | fake news | fake,0.0
detection | malware | attack,smart | home | smart home,0.0
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
prediction | rating | password,patient | organ | cancer,0.053
outsourcing | vendor | success,outsourcing | vendor | success,1.0
patient | organ | cancer,feature | image | classification,0.0
platform | metaverse | content,platform | metaverse | content,1.0
knowledge | knowledge sharing | sharing,review | product | online review,0.0
virtual | satisfaction | turnover,virtual | satisfaction | turnover,1.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
network | peer | social network,prediction | rating | password,0.0
investment | security investment | security,workflow | management | generator,0.0
smart | home | smart home,smart | home | smart home,1.0
financial | financial distress | distress,attack | cyber | vulnerability,0.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
robot | hri | exploration,robot | hri | exploration,1.0
recommender | content | recommendation,recommender | content | recommendation,1.0
ethical | human | generative,industry | technology | industry technology,0.0
decision | decision making | making,decision | decision making | making,1.0
recommender | content | recommendation,social | social medium | sn,0.111
cloud | cloud computing | computing,resource | resource allocation | allocation,0.053
software | software development | component,software | software development | component,1.0
robot | hri | exploration,robot | hri | exploration,1.0
smart | home | smart home,smart | home | smart home,1.0
capability | firm | bda,capability | firm | bda,1.0
database | relational | mapping,database | relational | mapping,1.0
security | information security | security policy,security | information security | security policy,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
game | analytics | online game,game | analytics | online game,1.0
social | social medium | sn,social | social medium | sn,1.0
health | healthcare | care,health | healthcare | care,1.0
governance | data governance | participation,platform | metaverse | content,0.0
compliance | checking | process,compliance | checking | process,1.0
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
learning | student | learner,learning | student | learner,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
open data | big data | big,game | analytics | online game,0.053
learning | student | learner,news | fake news | fake,0.0
learning | student | learner,learning | student | learner,1.0
prediction | rating | password,prediction | rating | password,1.0
sustainability | green | smes,model | test | test case,0.0
detection | malware | attack,detection | malware | attack,1.0
authentication | security | protocol,authentication | security | protocol,1.0
investment | security investment | security,investment | security investment | security,1.0
event | log | event processing,sentiment | twitter | sentiment analysis,0.0
enterprise | architecture | enterprise architecture,ethical | human | generative,0.0
health | healthcare | care,health | healthcare | care,1.0
consumer | commerce | purchase,social | social medium | sn,0.0
health | healthcare | care,data | quality | data quality,0.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
sustainability | green | smes,sustainability | green | smes,1.0
security | information security | security policy,security | information security | security policy,1.0
review | product | online review,review | product | online review,1.0
learning | student | learner,financial | financial distress | distress,0.053
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
capability | firm | bda,capability | firm | bda,1.0
social | social medium | sn,sustainability | green | smes,0.053
design | information | exchange,information | modeling | approach,0.053
detection | malware | attack,detection | malware | attack,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
sustainability | green | smes,sustainability | green | smes,1.0
health | healthcare | care,health | healthcare | care,1.0
community | group | member,attack | cyber | vulnerability,0.0
patient | organ | cancer,patient | organ | cancer,1.0
attack | cyber | vulnerability,service | customer | service quality,0.0
decision | decision making | making,patient | organ | cancer,0.053
iot | thing | internet thing,iot | thing | internet thing,1.0
domain | text | method,domain | text | method,1.0
crisis | pandemic | covid,crisis | pandemic | covid,1.0
platform | metaverse | content,platform | metaverse | content,1.0
learning | student | learner,financial | financial distress | distress,0.053
health | healthcare | care,health | healthcare | care,1.0
security | information security | security policy,security | information security | security policy,1.0
information | modeling | approach,design | information | exchange,0.053
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
erp | enterprise resource | resource planning,erp | enterprise resource | resource planning,1.0
health | healthcare | care,health | healthcare | care,1.0
supply | supply chain | chain,industry | technology | industry technology,0.0
software | software development | component,software | software development | component,1.0
innovation | firm | service innovation,social | social medium | sn,0.0
model | test | test case,model | test | test case,1.0
privacy | concern | protection,customer | chatbot | loyalty,0.0
cloud | cloud computing | computing,privacy | concern | protection,0.0
platform | metaverse | content,reality | extended reality | task,0.053
network | peer | social network,network | peer | social network,1.0
iot | thing | internet thing,iot | thing | internet thing,1.0
cultural value | value | metaverses,cultural value | value | metaverses,1.0
sustainability | green | smes,sustainability | green | smes,1.0
collaboration | process | event log,data | quality | data quality,0.0
payment | mobile payment | mobile,detection | malware | attack,0.0
health | healthcare | care,patient | organ | cancer,0.053
platform | metaverse | content,platform | metaverse | content,1.0
service | web service | web,consumer | commerce | purchase,0.0
game | analytics | online game,game | analytics | online game,1.0
adoption | institutional | pressure,capability | firm | bda,0.053
capability | firm | bda,capability | firm | bda,1.0
open data | big data | big,open data | big data | big,1.0
financial | financial distress | distress,financial | financial distress | distress,1.0
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
feature | image | classification,feature | image | classification,1.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
sustainability | green | smes,sustainability | green | smes,1.0
smart | home | smart home,iot | thing | internet thing,0.053
privacy | concern | protection,privacy | concern | protection,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
crisis | pandemic | covid,sustainability | green | smes,0.0
information | modeling | approach,review | product | online review,0.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
feature | image | classification,feature | image | classification,1.0
feature | image | classification,feature | image | classification,1.0
team | audit | internal,team | audit | internal,1.0
community | group | member,learning | student | learner,0.0
social | social medium | sn,social | social medium | sn,1.0
learning | student | learner,decision | decision making | making,0.0
smart | home | smart home,attack | cyber | vulnerability,0.0
ict | diffusion | country,ict | diffusion | country,1.0
digital | digital technology | divide,crowdsourcing | contest | crowd,0.0
platform | metaverse | content,sustainability | green | smes,0.0
social | social medium | sn,incident | social responsibility | responsibility,0.0
market | rumor | stock,market | rumor | stock,1.0
digital | digital technology | divide,government | citizen | public,0.111
health | healthcare | care,health | healthcare | care,1.0
adoption | institutional | pressure,abstract | available | editor,0.0
robot | hri | exploration,decision | decision making | making,0.0
innovation | firm | service innovation,mobile | phone | mobile phone,0.0
learning | student | learner,learning | student | learner,1.0
platform | metaverse | content,crisis | pandemic | covid,0.0
platform | metaverse | content,platform | metaverse | content,1.0
virtual | satisfaction | turnover,virtual | satisfaction | turnover,1.0
prediction | rating | password,prediction | rating | password,1.0
risk | risk assessment | injury,attack | cyber | vulnerability,0.053
supply | supply chain | chain,supply | supply chain | chain,1.0
community | group | member,health | healthcare | care,0.0
risk | risk assessment | injury,security | information security | security policy,0.0
domain | text | method,domain | text | method,1.0
security | information security | security policy,access control | control | access,0.053
ict | diffusion | country,ict | diffusion | country,1.0
open data | big data | big,open data | big data | big,1.0
team | audit | internal,team | audit | internal,1.0
network | peer | social network,prediction | rating | password,0.0
recommender | content | recommendation,recommender | content | recommendation,1.0
health | healthcare | care,health | healthcare | care,1.0
abstract | available | editor,feature | image | classification,0.0
security | information security | security policy,authentication | security | protocol,0.053
governance | data governance | participation,governance | data governance | participation,1.0
privacy | concern | protection,privacy | concern | protection,1.0
learning | student | learner,learning | student | learner,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
industry | technology | industry technology,sustainability | green | smes,0.053
supply | supply chain | chain,supply | supply chain | chain,1.0
review | product | online review,review | product | online review,1.0
protein | gene | pattern,protein | gene | pattern,1.0
health | healthcare | care,data | quality | data quality,0.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
robot | hri | exploration,robot | hri | exploration,1.0
platform | metaverse | content,platform | metaverse | content,1.0
governance | data governance | participation,governance | data governance | participation,1.0
platform | metaverse | content,digital | digital technology | divide,0.053
use | acceptance | utaut,use | acceptance | utaut,1.0
privacy | concern | protection,government | citizen | public,0.0
detection | malware | attack,detection | malware | attack,1.0
iot | thing | internet thing,iot | thing | internet thing,1.0
review | product | online review,review | product | online review,1.0
privacy | concern | protection,privacy | concern | protection,1.0
news | fake news | fake,news | fake news | fake,1.0
ict | diffusion | country,ict | diffusion | country,1.0
platform | metaverse | content,platform | metaverse | content,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
health | healthcare | care,health | healthcare | care,1.0
robot | hri | exploration,robot | hri | exploration,1.0
security | information security | security policy,security | information security | security policy,1.0
health | healthcare | care,health | healthcare | care,1.0
social | social medium | sn,social | social medium | sn,1.0
ethical | human | generative,ethical | human | generative,1.0
capability | firm | bda,capability | firm | bda,1.0
domain | text | method,graph | bias | property,0.0
digital | digital technology | divide,energy | user | ubiquitous,0.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
research | citation | journal,research | citation | journal,1.0
digital | digital technology | divide,innovation | firm | service innovation,0.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
privacy | concern | protection,privacy | concern | protection,1.0
financial | financial distress | distress,domain | text | method,0.0
supply | supply chain | chain,supply | supply chain | chain,1.0
review | product | online review,crisis | pandemic | covid,0.0
news | fake news | fake,news | fake news | fake,1.0
trust | distrust | consumer,trust | distrust | consumer,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
detection | malware | attack,domain | text | method,0.0
market | rumor | stock,market | rumor | stock,1.0
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
innovation | firm | service innovation,sustainability | green | smes,0.053
cloud | cloud computing | computing,resource | resource allocation | allocation,0.053
decision | decision making | making,patient | organ | cancer,0.053
review | product | online review,review | product | online review,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
privacy | concern | protection,privacy | concern | protection,1.0
platform | metaverse | content,reality | extended reality | task,0.053
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
social | social medium | sn,community | group | member,0.053
robot | hri | exploration,robot | hri | exploration,1.0
smart | home | smart home,game | analytics | online game,0.0
customer | chatbot | loyalty,customer | chatbot | loyalty,1.0
information | modeling | approach,virtual | satisfaction | turnover,0.0
research | citation | journal,research | citation | journal,1.0
resource | resource allocation | allocation,crisis | pandemic | covid,0.0
digital | digital technology | divide,digital | digital technology | divide,1.0
negotiation | electronic | electronic market,industry | technology | industry technology,0.0
iot | thing | internet thing,smart | home | smart home,0.053
government | citizen | public,government | citizen | public,1.0
performance | fund | task performance,performance | fund | task performance,1.0
agent | multi agent | evacuation,research | citation | journal,0.0
information | modeling | approach,blockchain | token | blockchain technology,0.0
sustainability | green | smes,energy | user | ubiquitous,0.0
industry | technology | industry technology,industry | technology | industry technology,1.0
ethical | human | generative,abstract | available | editor,0.0
financial | financial distress | distress,financial | financial distress | distress,1.0
innovation | firm | service innovation,digital | digital technology | divide,0.0
disaster | disaster management | flood,knowledge | knowledge sharing | sharing,0.053
mobile | phone | mobile phone,mobile | phone | mobile phone,1.0
platform | metaverse | content,platform | metaverse | content,1.0
learning | student | learner,query | xml | document,0.0
query | xml | document,query | xml | document,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
domain | text | method,domain | text | method,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
privacy | concern | protection,privacy | concern | protection,1.0
mobile | phone | mobile phone,network | peer | social network,0.053
review | product | online review,review | product | online review,1.0
network | peer | social network,digital | digital technology | divide,0.0
network | peer | social network,network | peer | social network,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
feature | image | classification,feature | image | classification,1.0
investment | security investment | security,investment | security investment | security,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
government | citizen | public,adoption | institutional | pressure,0.053
industry | technology | industry technology,domain | text | method,0.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
review | product | online review,review | product | online review,1.0
software | software development | component,software | software development | component,1.0
health | healthcare | care,video | topic | collaborative tagging,0.0
privacy | concern | protection,privacy | concern | protection,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
robot | hri | exploration,robot | hri | exploration,1.0
platform | metaverse | content,platform | metaverse | content,1.0
search | concept | semantic,problem | tcp | constraint,0.0
digital | digital technology | divide,digital | digital technology | divide,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
sustainability | green | smes,sustainability | green | smes,1.0
patient | organ | cancer,patient | organ | cancer,1.0
network | peer | social network,network | peer | social network,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
capability | firm | bda,capability | firm | bda,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
cloud | cloud computing | computing,resource | resource allocation | allocation,0.053
smart | home | smart home,smart | home | smart home,1.0
productivity | intranet | vision,service | web service | web,0.0
learning | student | learner,domain | text | method,0.0
consumer | commerce | purchase,social | social medium | sn,0.0
user | caching | service,user | caching | service,1.0
game | analytics | online game,game | analytics | online game,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
network | peer | social network,network | peer | social network,1.0
industry | technology | industry technology,industry | technology | industry technology,1.0
payment | mobile payment | mobile,payment | mobile payment | mobile,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
learning | student | learner,financial | financial distress | distress,0.053
blockchain | token | blockchain technology,blockchain | token | blockchain technology,1.0
community | group | member,community | group | member,1.0
financial | financial distress | distress,learning | student | learner,0.053
industry | technology | industry technology,team | audit | internal,0.0
crisis | pandemic | covid,supply | supply chain | chain,0.0
health | healthcare | care,ethical | human | generative,0.0
crisis | pandemic | covid,crisis | pandemic | covid,1.0
community | group | member,community | group | member,1.0
commerce | electronic commerce | transit,commerce | electronic commerce | transit,1.0
review | product | online review,health | healthcare | care,0.0
compliance | checking | process,decision | decision making | making,0.0
domain | text | method,domain | text | method,1.0
iot | thing | internet thing,iot | thing | internet thing,1.0
detection | malware | attack,video | topic | collaborative tagging,0.053
robot | hri | exploration,robot | hri | exploration,1.0
service | web service | web,incident | social responsibility | responsibility,0.0
capability | firm | bda,industry | technology | industry technology,0.053
video | topic | collaborative tagging,video | topic | collaborative tagging,1.0
capability | firm | bda,sustainability | green | smes,0.111
industry | technology | industry technology,service | web service | web,0.0
game | analytics | online game,capability | firm | bda,0.0
open data | big data | big,capability | firm | bda,0.0
governance | data governance | participation,governance | data governance | participation,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
emergency | emergency management | universal,emergency | emergency management | universal,1.0
protein | gene | pattern,protein | gene | pattern,1.0
social | social medium | sn,consumer | commerce | purchase,0.0
social | social medium | sn,domain | text | method,0.0
platform | metaverse | content,platform | metaverse | content,1.0
smart | home | smart home,smart | home | smart home,1.0
review | product | online review,consumer | commerce | purchase,0.111
game | analytics | online game,game | analytics | online game,1.0
health | healthcare | care,health | healthcare | care,1.0
privacy | concern | protection,security | information security | security policy,0.053
news | fake news | fake,news | fake news | fake,1.0
trust | distrust | consumer,social | social medium | sn,0.0
consumer | commerce | purchase,model | test | test case,0.0
adoption | institutional | pressure,decision | decision making | making,0.0
social | social medium | sn,social | social medium | sn,1.0
knowledge | knowledge sharing | sharing,knowledge | knowledge sharing | sharing,1.0
cultural value | value | metaverses,customer | chatbot | loyalty,0.0
service | web service | web,service | web service | web,1.0
innovation | firm | service innovation,innovation | firm | service innovation,1.0
review | product | online review,review | product | online review,1.0
game | analytics | online game,event | log | event processing,0.0
smart | home | smart home,use | acceptance | utaut,0.053
learning | student | learner,game | analytics | online game,0.0
social | social medium | sn,social | social medium | sn,1.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
software | software development | component,software | software development | component,1.0
query | xml | document,query | xml | document,1.0
network | peer | social network,feature | image | classification,0.0
productivity | intranet | vision,iot | thing | internet thing,0.0
risk | risk assessment | injury,risk | risk assessment | injury,1.0
government | citizen | public,platform | metaverse | content,0.053
rfid | tag | protocol,rfid | tag | protocol,1.0
workflow | management | generator,workflow | management | generator,1.0
community | group | member,social | social medium | sn,0.053
smart | home | smart home,software | software development | component,0.0
consumer | commerce | purchase,consumer | commerce | purchase,1.0
software | software development | component,software | software development | component,1.0
information | modeling | approach,design | information | exchange,0.053
energy | user | ubiquitous,energy | user | ubiquitous,1.0
collaboration | process | event log,collaboration | process | event log,1.0
health | healthcare | care,health | healthcare | care,1.0
software | software development | component,software | software development | component,1.0
social | social medium | sn,social | social medium | sn,1.0
attack | cyber | vulnerability,attack | cyber | vulnerability,1.0
digital | digital technology | divide,digital | digital technology | divide,1.0
model | test | test case,model | test | test case,1.0
robot | hri | exploration,information | modeling | approach,0.0
detection | malware | attack,detection | malware | attack,1.0
code | program | source code,model | test | test case,0.053
review | product | online review,consumer | commerce | purchase,0.111
learning | student | learner,problem | tcp | constraint,0.0
smart | home | smart home,reality | extended reality | task,0.0
security | information security | security policy,security | information security | security policy,1.0
prediction | rating | password,prediction | rating | password,1.0
data | quality | data quality,data | quality | data quality,1.0
social | social medium | sn,social | social medium | sn,1.0
business process | process | business,collaboration | process | event log,0.053
open data | big data | big,data | quality | data quality,0.053
event | log | event processing,disaster | disaster management | flood,0.053
domain | text | method,domain | text | method,1.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
enterprise | architecture | enterprise architecture,detection | malware | attack,0.0
trust | distrust | consumer,trust | distrust | consumer,1.0
security | information security | security policy,security | information security | security policy,1.0
game | analytics | online game,game | analytics | online game,1.0
social | social medium | sn,consumer | commerce | purchase,0.0
security | information security | security policy,investment | security investment | security,0.111
network | peer | social network,network | peer | social network,1.0
use | acceptance | utaut,use | acceptance | utaut,1.0
detection | malware | attack,detection | malware | attack,1.0
smart | home | smart home,smart | home | smart home,1.0
consumer | commerce | purchase,review | product | online review,0.111
detection | malware | attack,feature | image | classification,0.0
disaster | disaster management | flood,disaster | disaster management | flood,1.0
community | group | member,community | group | member,1.0
agent | multi agent | evacuation,agent | multi agent | evacuation,1.0
health | healthcare | care,health | healthcare | care,1.0
knowledge | knowledge sharing | sharing,market | rumor | stock,0.0
digital | digital technology | divide,government | citizen | public,0.111
open data | big data | big,emergency | emergency management | universal,0.0
internet | internet access | addiction,customer | chatbot | loyalty,0.0
governance | data governance | participation,governance | data governance | participation,1.0
social | social medium | sn,social | social medium | sn,1.0
information | modeling | approach,information | modeling | approach,1.0
negotiation | electronic | electronic market,negotiation | electronic | electronic market,1.0
service | web service | web,iot | thing | internet thing,0.0
crisis | pandemic | covid,crisis | pandemic | covid,1.0
supply | supply chain | chain,supply | supply chain | chain,1.0
open data | big data | big,domain | text | method,0.0
decision | decision making | making,patient | organ | cancer,0.053
information | modeling | approach,information | modeling | approach,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
cloud | cloud computing | computing,cloud | cloud computing | computing,1.0
government | citizen | public,government | citizen | public,1.0
market | rumor | stock,market | rumor | stock,1.0
community | group | member,community | group | member,1.0
mobile | phone | mobile phone,energy | user | ubiquitous,0.053
innovation | firm | service innovation,innovation | firm | service innovation,1.0
smart | home | smart home,smart | home | smart home,1.0
community | group | member,community | group | member,1.0
